id,ms,date,puzzle,scramble,plus2,dnf
-w8WBZKEJ,22787,2020-11-12T15:45:59.473Z,3x3x3,"D' L2 U' B2 D2 R2 B2 L2 B2 D' U2 R' D F R B D2 R2 U R2 U2",,
ZiydurQU4,23418,2020-11-12T15:46:52.340Z,3x3x3,"D2 B2 D L2 U L2 U' B2 U L2 R2 F' D R U' R' F' L R B R",,
y2OlhvFKz,26423,2020-11-12T17:00:31.669Z,3x3x3,"D' F2 B' D' R2 D' L B2 R F' D2 F2 U2 F2 R2 B2 R2 D R2 B2 D'",,
nslP4mL-b,26295,2020-11-12T17:02:19.820Z,3x3x3,"B R2 F U R L F' L2 F' L U2 D2 F U2 L2 F' L2 F2 U2 R2 F2",,
JSs8ZBGbV,18703,2020-11-12T17:03:13.787Z,3x3x3,"B2 D R2 D F2 R2 D L2 U2 R2 U B' D2 B L2 B' D2 U' F' L' U2",,
MKHcejLyX,27526,2020-11-12T17:06:03.780Z,3x3x3,"U F' R D B2 R D R' F' R2 F' R2 D2 B2 L2 F' D2 B' U2",,
z5vzjUyRX,22147,2020-11-12T17:06:47.480Z,3x3x3,"U' F2 D' L2 R2 D U2 B2 U R2 D' F' D2 U2 R2 F2 R D F L U'",,
WoR2nQZ3h,26146,2020-11-12T17:08:42.493Z,3x3x3,"B2 F2 D' L2 R2 D L2 U' L2 U2 B2 R F U2 L D' L' R F2 R2 U2",,
4Ix_rRl9R,25150,2020-11-12T17:09:42.273Z,3x3x3,"U' L2 B2 F2 D' F2 L2 D' U' R2 U' L' D2 U2 B2 L F U R D2 L'",,
Bq-MdJx5r,25499,2020-11-12T17:10:29.257Z,3x3x3,"B L2 U2 R2 U2 B2 U2 F2 U2 B R F2 R2 U L2 D' L D F' L' R2",,
